Firm Name,Address Line 1,City,State,Zip Code,Country,Firm URL
"Beatty, Harvey, Coco Architects","3 E 28th St , Fl 6",New York,NY,10016-7599,UNITED STATES,www.bhc-architects.com
"Beatty, Harvey, Coco Architects, LLP",325 Wireless Blvd,Hauppauge,NY,11788-3973,UNITED STATES,www.bhc-architects.com/
"Beaty Palmer Architects, Inc.",110 Broadway St Ste 600,San Antonio,TX,78205-1934,UNITED STATES,www.beatypalmer.com
"Beaudin & Associates, Inc.","1233 Shelburne Rd , Ste 430",South Burlington,VT,05403-7752,UNITED STATES,
BEC Associates,"2512 9th St , Ste 1",Berkeley,CA,94710-2542,UNITED STATES,
"Bechtel Frank Erickson Architects, Inc.",1840 Massachusetts Ave Ste 2,Lexington,MA,02420-5334,UNITED STATES,www.bfearc.com
Bechtle Architects,4515 Valley Commins Drive #201,Bozeman,MT,59718-6436,UNITED STATES,www.bechtlearchitects.com
Beck Architecture,"2305 Donley Dr , Ste 106",Austin,TX,78758-4535,UNITED STATES,
Beck Architecture Georgia LLC,"3500 Lenox Rd NE , Ste 250",Atlanta,GA,30326-4243,UNITED STATES,www.beckgroup.com
Beck Architecture Inc.,550 Liberty Hl,Cincinnati,OH,45202-6891,UNITED STATES,beckarchitects.com/
Beck Architecture LLC,"1108 Lavaca St , Ste 520",Austin,TX,78701-2125,UNITED STATES,www.beckgroup.com
Beck Architecture LLC,220 W 7th Ave,Tampa,FL,33602-2012,UNITED STATES,www.beckgroup.com
"Beck Architecture, LLC",1001 17th St Ste PL-100,Denver,CO,80202-2069,UNITED STATES,www.beckgroup.com
"Beck Architecture, LLC","220 W 7th Ave , Ste 200",Tampa,FL,33602-2012,UNITED STATES,www.beckgroup.com
Beck Design,"131 Dean a McGee Ave , Ste 135",Oklahoma City,OK,73102-6425,UNITED STATES,www.beckdesign.com
Beck Design,"110 W 7th St , Ste 710",Tulsa,OK,74119-1116,UNITED STATES,www.beckdesign.com
Beck Group,"1601 ELM STREET, SUITE 2800",Dallas,TX,75201,UNITED STATES,www.beckgroup.com
Beck Group,3500 Lenox Rd NE,Atlanta,GA,30326-4228,UNITED STATES,www.beckgroup.com
Becker & Becker Associates Inc.,"21 Bridge Sq
Ste 360",West Point,CT,06880,UNITED STATES,www.beckerandbecker.com
"Becker Architects, Ltd.",595 Elm Pl Ste 225,Highland Park,IL,60035-2529,UNITED STATES,www.beckerarchitects.com
Becker Associatti Inc,PO Box 50,Huddleston,VA,24104-0050,UNITED STATES,
Becker Henson Niksto Architects,34 W Mission St,Santa Barbara,CA,93101-2407,UNITED STATES,www.peterbeckerarchitect.com
Becker Morgan Group,100 Discovery Blvd Ste 102,Newark,DE,19713-1325,UNITED STATES,
